univ_id,year,province,univ_type,ai_adopt,strat_gov,org_learn,dig_cap,univ_scale,fin_invest,prof_ratio
10001,2020,2,3,3.2792,3.61,3.5802,4.0443,9.5618,11.374,0.3619
10001,2021,2,3,3.3622,3.7068,3.1183,3.8008,9.6343,10.4005,0.3538
10001,2022,2,3,3.6873,3.7397,3.9587,3.8001,9.6138,11.3472,0.3587
10001,2023,2,3,3.5774,4.4795,3.4411,4.2011,9.5501,10.751,0.3354
10001,2024,2,3,3.6443,3.6474,3.7035,5,9.4474,11.678,0.3567
10001,2025,2,3,4.3224,4.3629,4.1695,5,9.6663,10.1818,0.3589
10002,2020,29,2,3.3071,3.8564,3.5274,4.5697,11.0038,11.5295,0.3219
10002,2021,29,2,4.2748,4.1672,3.9925,4.5938,11.0018,11.8502,0.3263
10002,2022,29,2,4.2497,4.273,4.0299,4.6094,10.998,11.8703,0.3499
10002,2023,29,2,4.3947,4.4465,4.0835,4.5026,11.2011,11.4676,0.3587
10002,2024,29,2,4.7859,4.9087,4.4896,5,11.2507,11.7429,0.3428
10002,2025,29,2,4.6814,4.5939,4.2812,5,11.0109,13.4337,0.3425
10003,2020,5,3,3.498,3.2471,3.3247,3.7852,8.6772,10.6239,0.3499
10003,2021,5,3,3.2503,3.7907,3.7039,4.1493,8.5488,11.485,0.3447
10003,2022,5,3,3.2782,3.7253,3.508,3.8605,8.6179,13.0532,0.3577
10003,2023,5,3,4.3133,3.7424,4.0899,4.27,8.8208,13.6737,0.3342
10003,2024,5,3,4.0333,4.2179,3.7362,4.6326,8.6428,13.3032,0.3622
10003,2025,5,3,3.6138,3.8313,3.9308,5,8.6861,13.6624,0.3451
10004,2020,27,2,3.5934,3.8619,3.7044,4.0334,9.612,9.7344,0.4785
10004,2021,27,2,3.8528,4.2427,4.0696,3.9448,9.5654,10.45,0.4614
10004,2022,27,2,3.4875,3.4744,3.7644,4.4437,9.5613,10.8223,0.4876
10004,2023,27,2,4.4459,3.977,3.8381,5,9.7647,10.2176,0.508
10004,2024,27,2,4.1718,4.3167,4.2235,4.5739,9.3914,12.7947,0.4778
10004,2025,27,2,4.3297,4.9296,4.2939,4.6963,9.6408,11.848,0.499
10005,2020,4,3,3.6449,3.501,3.8742,4.3117,9.02,11.6137,0.4336
10005,2021,4,3,3.6252,3.9721,3.9586,4.2333,9.4216,12.399,0.451
10005,2022,4,3,3.5893,3.7668,3.4363,4.1,9.3104,13.5908,0.4298
10005,2023,4,3,3.8993,3.9929,4.0675,4.4151,9.2237,12.3861,0.4464
10005,2024,4,3,4.4995,3.9743,3.919,4.592,9.1194,14.2393,0.4464
10005,2025,4,3,4.1644,4.276,4.1006,5,9.2015,13.3212,0.4313
10006,2020,24,3,3.6101,3.3604,2.9826,4.0148,9.4945,10.0059,0.4379
10006,2021,24,3,3.1975,3.493,3.1791,4.4243,9.3875,11.1544,0.4288
10006,2022,24,3,3.7155,3.7171,3.9513,4.2456,9.5951,12.2045,0.4609
